物质的三态及其基本特征
平衡力和相互作用力的区分
二力平衡条件的应用
力与运动的关系
力与图象的结合
力的合成与应用
滑轮组绳子拉力的计算
稳度和提高稳度的方法
弹力
弹簧测力计及其原理
探究弹簧测力计原理的实验
弹簧测力计的使用与读数
弹簧测力计在力的相互性方面的应用
重力
重力大小的估测
重力的计算
重心
滑轮组的设计与组装
重力的方向
重力示意图
探究重力大小跟什么因素有关的实验
摩擦力的大小
摩擦力大小的影响因素
摩擦力产生的条件
摩擦力的方向
摩擦力的种类
增大或减小摩擦的方法
摩擦力的示意图
有关摩擦力的设计试验
探究摩擦力的大小与什么因素有关的实验
杠杆及其五要素
杠杆的平衡条件
杠杆的分类
力臂的画法
杠杆的动态平衡分析
杠杆的平衡分析法及其应用
杠杆中最小力的问题
杠杆的应用
探究杠杆的平衡条件实验
定滑轮及其工作特点
动滑轮及其工作特点
滑轮组及其工作特点
轮轴及其他常见简单机械
动滑轮拉力的计算
压力及重力与压力的区别
压强
压强大小比较
增大压强的方法及其应用
减小压强的方法及其应用
压强的大小及其计算
探究压力的作用效果跟什么因素有关的实验
液体的压强的特点
液体的压强的计算
液体压强计算公式的应用
连通器原理
探究液体压强的特点实验
利用平衡法求液体密度
大气压强的存在
大气压强的测量方法
大气压强与高度的关系
气体压强跟体积的关系
气压计和抽水机
大气压的综合应用
流体压强与流速的关系
飞机的升力
流体压强与流速关系的探究实验
浮力产生的原因
阿基米德原理
浮力大小的计算
浮力的利用
探究浮力大小的实验
物体的浮沉条件及其应用
帕斯卡原理及其应用
声音的产生
声音的传播条件
声速
声音在不同介质中的传播速度
声速的大小跟介质温度的关系
回声
回声测距离的应用
人耳的构成
人耳感知声音的过程及听到声音的条件
骨传声及骨传导的原理
双耳效应
音调
频率及音调的关系
超声波与次声波
响度
响度与振幅的关系
音色
音调、响度与音色的区分
噪声及来源
声音的等级和噪声的危害
防治噪声的途径
声与信息
声与能量
声音的综合利用
光源
光在均匀介质中直线传播
光直线传播的应用
光的传播速度与光年
光线
光的反射
光的反射定律
作光的反射光路图
镜面反射
漫反射
镜面反射和漫反射的异同点
光反射的可逆性
平面镜对光的作用
平面镜成像的特点、原理、现象及其实验方案
平面镜成虚像的原因
实像与虚像的区别
平面镜成像的相关作图
平面镜的应用
凸面镜和凹面镜
光的折射规律
光折射的可逆性
光的折射现象及其应用
作光的折射光路图
光学实验设计与探究
光的色散
色光的三原色和颜料的三原色
物体的颜色
太阳光谱
红外线
紫外线
透镜及其分类
辨别凸透镜和凹透镜的方法
主光轴、光心、焦点和焦距
凸透镜的会聚作用
凹透镜的发散作用
透镜的光路图
凸透镜成像规律及其探究实验
凸透镜成像的应用
眼睛及其视物原理
近视眼的成因与矫正办法
远视眼的成因与矫正办法
显微镜
望远镜
生活中的透镜
磁性、磁体、磁极
磁化
磁性材料
磁极间的相互作用
物体是否具有磁性的判断方法
磁场
磁感线及其特点
地磁场
通电直导线周围的磁场
通电螺线管的磁场
安培定则
探究影响电磁铁磁性强弱的因素的实验
电磁铁的构造和原理
影响电磁铁磁性强弱的因素
电磁继电器的组成、原理和特点
电磁阀车门的构造和原理
磁浮列车的工作原理和特点
电磁铁的其他应用
磁场对通电导线的作用
左手定则
扬声器和耳机的构造和原理
直流电动机的原理
直流电动机的构造和工作过程
实用电动机的构造、特点和应用
电磁感应
产生感应电流的条件
动圈式话筒的构造和原理
发电机的构造和原理
交流电
探究电磁感应现象的实验
通电螺线管的极性和电流
电磁波的产生
电磁波的传播
波速、波长和频率的关系
音频、视频和射频信号
调制、调谐和解调
无线电广播的发射和接收
电视的发射和接收
移动通信
网络通信
光纤通信
卫星中继通信
通信技术的发展前景
信息与信息传播
模拟信号和数字信号
能量及其存在的不同形式
能量的相互转化
能量守恒定律
能量转化与守恒观点的应用
能量的转化和转移
能量利用效率
能量的转化与转移的方向性
功
力做功的必要因素
力是否做功的判断
功的大小比较
功的计算
功的计算公式的应用
功的原理
滑轮与功的综合题
功的原理的探究实验
有用功和额外功
机械效率
机械效率的大小比较
机械效率的计算
滑轮（组）的机械效率
杠杆的机械效率
斜面的机械效率
增大或减小机械效率的方法
滑轮（组）机械效率的测量实验
斜面机械效率的测量实验
杠杆机械效率的测量实验
功率的概念
比较做功快慢的方法
功率大小的比较
增大功率的方法
功率的计算
功率计算公式的应用
功率在实际中的应用
功率的测量实验
能
动能和势能的概念
动能大小的比较
势能大小的比较
动能和势能的大小变化
动能的影响因素
势能的影响因素
探究影响物体动能大小的因素
探究影响物体势能大小的因素
动能与势能的应用
机械能
动能和势能的转化与守恒
机械能守恒条件
能量转化的现象
能量转化的应用
机械能和其他形式能的转化
分子动理论的基本观点
分子动理论与热现象的缘由
热量的概念
内能的概念
内能的利用及其意义
温度、热量与内能的关系
物体内能的改变
热传递
做功改变物体内能
热传递改变物体内能
热传递在生活中的应用
做功与物体内能改变的探究实验
比热容的概念
水的比热容的特点及应用
比热容解释简单的自然现象
热量的计算
分子间的作用力
热平衡方程的应用
燃料的热值
热机
热机的效率
：内燃机的四个冲程
有关热机的计算
能量的转化
能量守恒定理
永动机
能量转化或转移现象的分析
机械能守恒定理的应用
蒸气机,内燃机,汽轮机,喷气发动机的原理
物质的组成
分子的运动
：扩散现象
探究比热容的实验
串联电路的电流规律
探究串并联电路中的电流特点实验
电流的单位换算
物体带电现象
正电荷与负电荷
原子结构、元电荷与带电情况
电量及其计算
等效电路
摩擦起电
摩擦起电的实质
电荷间的相互作用规律
物体带电情况的判断
：并联电路的电流规律
验电器的原理及使用
检验物体是否带电的方法
判断物体带电性质的方法
电流的形成
电流的方向
电流的热效应、化学效应和磁效应
电流的大小
电源及其能量转化
有持续电流的条件
导体
绝缘体
导体和绝缘体的区别
：金属导电的实质
电路的组成
电路图及元件符号
电路的三种状态
根据实物图画电路图
实物的电路连接
电路的基本连接方式
串联电路和并联电路的辨别
串、并联电路的设计
电流的强弱
：电流的测量
电流表的使用
电流表的读数方法
电流表的连接
电压
电压的测量仪器
电压表的使用
电压表的读数方法
电压表的连接
串联电路的电压规律
并联电路的电压规律
探究串、并联电路中的电压规律实验
电阻
影响电阻大小的因素
变阻器
滑动变阻器的工作原理
滑动变阻器的使用
电流表、电压表在判断电路故障中的应用
欧姆定律
欧姆定律的变形公式
欧姆定律的应用
电阻的串联
电阻的并联
伏安法
探究电流与电压、电阻的关系实验
伏安法测电阻的探究实验
家庭电路的组成
家庭电路的连接
家庭电路的故障分析
家庭电路工作电压、零线火线的辨别方法
测电笔的使用
熔断器的作用及保险丝的选择方法
插座的构造与工作方式
触电危害及常见的触电类型与预防
安全用电原则
电路的简化与计算
家庭电路电流过大的原因
电路图设计
电路的动态分析
电功
电功的实质
电功的计算
电功计算公式的应用
电能表参数的理解与电能的求法
电功的测量
电功率
电功率与电能、时间的关系
电功率与电压、电流的关系
电功率的计算
额定电压
额定功率
实际电压
实际功率
电功率的测量
电热
焦耳定律
焦耳定律的计算公式及其应用
焦耳定律在实际中的应用
电功与热量的综合计算
探究用电器的电功率实验
电功率与安全用电
电能的输送
家用电器
家庭生活自动化 智能化
能源的分类
新能源
核能
核电站发电过程中的能量转化
核聚变
核裂变
太阳能
太阳能的利用
太阳能的转化
太阳能热水器中的热量计算
太阳能的其他相关计算
能源革命
能量转化和转移的方向性
能源危机与能源消耗对环境的影响
未来的理想能源
能源的利用和对环境的危害
有利于节约能源的措施
能源与人类生存和社会发展的关系
不可再生能源的特点
可再生能源的特点
核能的优点和可能带来的问题
处理核废料的常用办法
世界和我国的能源状况
火箭
超纲知识
科学探究的意义
猜想与事实验证
科学探究的基本方法
科学探究的基本环节
测定空气里氧气含量的探究
制取气体的反应原理的探究
质量守恒定律的实验探究
金属活动性的探究
探究酸碱的主要性质
药品是否变质的探究
缺失标签的药品成分的探究
实验探究物质的性质或变化规律
探究金属锈蚀的条件
燃烧的条件与灭火原理探究
影响化学反应速率的因素探究
实验探究物质变化的条件和影响物质变化的因
食品干燥剂、保鲜剂和真空包装的成分探究
化肥有效成分含量的探究
味精中食盐含量的探究
实验探究物质的组成成分以及含量
物质除杂或净化的探究
气体制取装置的探究
实验数据处理或者误差分析的探究
实验操作注意事项的探究
实验步骤的探究
化学实验方案设计与评价
化学竞赛
用于加热的仪器
测量容器-量筒
称量器-托盘天平
加热器皿-酒精灯
挟持器-铁夹、试管夹、坩埚钳
分离物质的仪器
量气装置
固体药品的取用
液体药品的取用
给试管里的固体加热
给试管里的液体加热
物质的溶解
浓硫酸的性质及浓硫酸的稀释
一定溶质质量分数的溶液的配制
混合物的分离方法
过滤的原理、方法及其应用
结晶的原理、方法及其应用
蒸发与蒸馏操作
仪器的装配或连接
检查装置的气密性
玻璃仪器的洗涤
：常见的意外事故的处理方法
实验室制取气体的思路
常用气体的发生装置和收集装置与选取方法
常用气体的收集方法
常见气体的检验与除杂方法
气体的净化（除杂）
气体的干燥（除水）
酸碱指示剂的使用
溶液的酸碱度测定
证明盐酸和可溶性盐酸盐
：证明硫酸和可溶性硫酸盐
证明碳酸盐
证明铵盐
常用仪器的名称和选用
化学的历史发展过程
化学的研究领域
化学的用途
绿色化学
蜡烛燃烧实验
吸入空气与呼出气体的比较
学习化学的重要途径及学习方法
有关化学之最
化学常识
空气的成分及各成分的体积分数
空气组成的测定
空气对人类生活的重要作用
空气的污染及其危害
防治空气污染的措施
目前环境污染问题
氧气的物理性质
氧气的化学性质
氧气的用途
氧气与碳、磷、硫、铁等物质的反应现象
氧气的工业制法
实验室制取氧气的反应原理
氧气的制取装置
氧气的收集方法
氧气的检验和验满
制取氧气的操作步骤和注意点
自然界中的氧循环
自然界中的碳循环
催化剂的特点与催化作用
常见气体的用途
二氧化碳的实验室制法
：二氧化碳的检验和验满
制取二氧化碳的操作步骤和注意点
二氧化碳的工业制法
二氧化碳的物理性质
二氧化碳的化学性质
二氧化碳的用途
二氧化碳对环境的影响
一氧化碳的物理性质
一氧化碳的化学性质
一氧化碳的毒性
：探究氧气的性质
探究二氧化碳的性质
自然界中的氮循环
电解水实验
水的组成
水的性质和应用
水的合成与氢气的燃烧
水的净化
自来水的生产过程与净化方法
硬水与软水
水资源状况
水资源的污染与防治
溶解现象与溶解原理
常见的溶剂
溶液的概念、组成及其特点
溶液、溶质和溶剂的相互关系与判断
影响溶解快慢的因素
溶解时的吸热或放热现象
悬浊液、乳浊液的概念及其与溶液的区别
乳化现象与乳化作用
饱和溶液和不饱和溶液
饱和溶液和不饱和溶液相互转变的方法
浓溶液、稀溶液跟饱和溶液、不饱和溶液的关
固体溶解度的概念
：固体溶解度的影响因素
固体溶解度曲线及其作用
气体溶解度的影响因素
晶体和结晶的概念与现象
物质的溶解性及影响溶解性的因素
溶质的质量分数
用水稀释改变浓度的方法
溶质的质量分数、溶解性和溶解度的关系
有关溶质质量分数的简单计算
氢气的制取和检验
常见金属的特性及其应用
金属的物理性质及用途
合金与合金的性质
常见的金属和非金属的区分
金属的化学性质
金属活动性顺序及其应用
金属元素的存在及常见的金属矿物
探究金属铜的冶炼原理
金属材料及其应用
一氧化碳还原氧化铁
铁的冶炼
碳、一氧化碳、氢气还原氧化铜实验
常见金属的冶炼方法
生铁和钢
含杂质物质的化学反应的有关计算
金属锈蚀的条件及其防护
铁锈的主要成分
金属资源的保护
废弃金属对环境的污染
金属的回收利用及其重要性
生石灰的性质与用途
：碳酸钙、生石灰、熟石灰之间的转化
酸碱指示剂及其性质
酸的物理性质及用途
酸的化学性质
常见碱的特性和用途
碱的化学性质
溶液的导电性及其原理分析
中和反应及其应用
酸碱溶液的稀释
溶液的酸碱性与pH值的关系
溶液的酸碱性测定
酸碱性对生命活动和农作物生长的影响
酸雨的产生、危害及防治
酸碱盐的应用
氯化钠与粗盐提纯
碳酸钠、碳酸氢钠与碳酸钙
常用盐的用途
盐的化学性质
复分解反应及其发生的条件
常见化肥的种类和作用
化肥的简易鉴别
铵态氮肥的检验
：施用化肥对环境的影响
醋酸的性质及醋酸的含量测定
海水晒盐的原理和过程
纯碱的制取
酸碱盐的溶解性
离子或物质的共存问题
空气中常见酸碱盐的质量或性质变化及贮存法
根据浓硫酸或烧碱的性质确定所能干燥的气体
酸、碱、盐的鉴别
常见离子的检验方法及现象
物质的三态及其转化
物质的简单分类
从组成上识别氧化物
纯净物和混合物的概念
纯净物和混合物的判别
单质和化合物的概念
单质和化合物的判别
氧化物、酸、碱和盐的概念
常见的氧化物、酸、碱和盐的判别
有机物的特征、分类及聚合物的特性
甲烷、乙醇等常见有机物的性质和用途
有机物与无机物的区别
物质的多样性及其原因
物质的鉴别、推断
物质的相互转化和制备
物质的微粒性
分子、原子、离子、元素与物质之间的关系
微粒观点及模型图的应用
原子的定义与构成
分子和原子的区别和联系
原子和离子的相互转化
核外电子在化学反应中的作用
原子结构示意图与离子结构示意图
利用分子与原子的性质分析和解决问题
分子的定义与分子的特性
原子的有关数量计算
元素的概念
地壳中元素的分布与含量
元素的符号及其意义
元素的简单分类
元素周期表的特点及其应用
碳单质的物理性质及用途
碳的化学性质
物质的元素组成
物质的构成和含量分析
碳元素组成的单质
氧元素组成的单质
元素在化学变化过程中的特点
同素异形体和同素异形现象
化学式的书写及意义
化合价的概念
常见元素与常见原子团的化合价
化合价与离子表示方法上的异同点
化合价规律和原则
有关元素化合价的计算
相对原子质量的概念及其计算方法
相对分子质量的概念及其计算
元素质量比的计算
元素的质量分数计算
化合物中某元素的质量计算
混合物中某元素的质量计算
物质组成的综合计算
标签上标示的物质成分及其含量
化学符号及其周围数字的意义
有关化学式的计算和推断
化学变化的基本特征
物理变化的特点
化学变化和物理变化的判别
化学性质与物理性质的差别及应用
物质发生化学变化时的能量变化
化学的研究对象及其发展
反应现象和本质的联系
化学反应的实质
化合反应及其应用
分解反应及其应用
置换反应及其应用
复分解反应及其应用
氧化反应
复分解反应的条件与实质
金属活动性顺序与置换反应
酸、碱性废水的处理
光合作用与呼吸作用
反应类型的判定
还原反应
质量守恒定律及其应用
化学方程式的概念、读法和含义
化学方程式的配平
常见化学反应中的质量关系
书写化学方程式、文字表达式、电离方程式
根据化学反应方程式的计算
燃烧与燃烧的条件
完全燃烧与不完全燃烧
常用燃料的使用与其对环境的影响
灭火的原理和方法
防范爆炸的措施
燃烧、爆炸、缓慢氧化与自燃
化石燃料及其综合利用
石油的组成
石油加工的产物
原油泄漏对生态环境的危害及其处理
保护水资源和节约用水
海洋中的资源
对海洋资源的合理开发与利用
资源综合利用和新能源开发
燃烧和爆炸实验
易燃物和易爆物安全知识
几种常见的与化学有关的图标
几种常用的灭火器
氢气的物理性质
氢气的化学性质与燃烧实验
氢气的爆鸣实验
：氢气、一氧化碳、甲烷等可燃气体的验纯
氢气的用途和氢能的优缺点
常见能源的种类、能源的分类
塑料及其应用
塑料制品的回收、再生与降解
合成橡胶及其应用
合成纤维及其应用
塑料制品使用的安全
白色污染与防治
合成材料的使用及其对人和环境的影响
新材料的开发与社会发展的密切关系
有机高分子材料的分类及鉴别
复合材料、纳米材料
棉纤维、羊毛纤维和合成纤维
人体的元素组成与元素对人体健康的重要作用
生命活动与六大营养素
亚硝酸钠、甲醛等化学品的性质与人体健康
食品、药品与健康食品中的有机营养素
均衡营养与健康
矿物质与微量元素
加碘盐的检验
常见中毒途径及预防方法
烟的危害性及防治
毒品的危害性及预防
药品的分类
家庭常备药品
鉴别淀粉、葡萄糖的方法与蛋白质的性质
微量元素、维生素与健康的
三废处理的必要性和一般原则
常见污染物的来源、危害及治理
生活污水和工业废液的危害
富营养化污染与含磷洗衣粉的禁用
臭氧空洞和臭氧层保护
合理使用化肥、农药对保护环境的重要意义
化学在环境监测与环境保护中的重要作用
无土栽培
细胞是生命活动的基本结构和功能单位
细胞中的物质
细胞膜控制物质的进出
细胞核在生物遗传中的重要功能
线粒体和叶绿体是细胞中两种能量转换器
细胞壁及其作用
显微镜的基本构造和使用方法
使用显微镜和制作临时装片
画细胞结构图及注意事项
制作临时装片观察植物细胞
植物细胞的基本结构
动物细胞的结构
制作临时装片观察人的口腔上皮细胞
单细胞生物可以独立完成生命活动
动、植物细胞结构的相同
细胞分裂的基本过程
细胞分化形成组织
人体的几种基本组织及功能
植物的几种主要组织及功能
绿色开花植物体的结构层次
绿色开花植物由六大器官组成
新生命的开端（受精卵）
组织形成器官
器官构成系统和人体
细胞、组织、器官、系统的概念
动物体人体的结构层次
单细胞生物的结构和生活
生物的特征
环境对生物的影响
生物对环境的适应
生物对环境的影响
生物生存的环境条件
生物和生物之间有密切的联系
酸雨对生物的影响及其防治
废电池对生物的影响及其控制
温室效应和臭氧层破坏造成
生态系统的概念
生态系统的组成及各部分的作用
生态系统中的类型
生态系统中的食物链和食物网
生态系统中物质和能量的流动
保持生态平衡的重要意义
某些有害物质沿食物链积累
生态系统具有一定的自我调节能力
种群
生物群落
生物圈是最大的生态系统
人类活动对环境的影响
保护生物圈的意义
生态农业
生物圈的范围
种子的结构和成分
种子萌发的条件和过程
菜豆种子和玉米种子结构的异同
种子的知识在农业生产上的应用
种子的发芽率
幼根的生长
叶（枝）芽的结构和发育
茎发育成枝条
双子叶植物木质茎的基本结构和主要功能
木质茎的生长和年轮的形成
植株的生长发育所需营养物质（水、无机盐和
花的结构
传粉和受精
双受精的过程
果实和种子的形成
开花和结果的过程
植物组织培养
常见植物的栽培过程
顶端优势
植物生命活动的调节
绿色植物的生活需要水的原因
水的作用及其对植物分布的影响
根尖结构以及与吸收功能相适应的特点
根系及其在土壤里的分布和意义
根毛的分布位置和功能
根的结构
植物体内水分和无机盐的运输过程
导管的位置和对水分和无机盐的运输
筛管的位置和对有机物的运输
绿色植物的蒸腾作用
气孔的功能结构及开闭原理
蒸腾作用的意义
绿色植物参与生物圈的水循环
氮、磷、钾对植物生活的意义
无机盐的类型及其对植物的作用
根对水和无机盐的吸收
茎的贮藏作用
茎进行的营养繁殖
合理灌溉
合理施肥
无土栽培
植物细胞的吸水、失水
土壤的成分和作用
土壤的类型
保护土壤
叶片的基本结构及其主要功能
绿叶在光下制造有机物
光合作用的概念
光合作用过程中的物质转化和能量转化
光合作用的意义
光合作用原理在生产上的应用
光合作用与生物圈中的碳、氧平衡
绿色植物对有机物的利用
合理密植
呼吸作用的概念
呼吸作用过程中有机物的分解能量的释放
呼吸作用与光合作用的区别和联系
植物的呼吸与人类生产生活
绿色植物通过光合作用制造有机物
绿色植物为所有生物提供食物和能量
绿色植物有助于维持生物圈中的碳氧平衡
绿色植物在生物圈水循环中的作用
我国主要的植被类型
我国植被面临的主要问题
保护植被的意义
人体需要的主要营养物质
人体消化系统的组成
消化道的组成
牙齿的结构和保健
胃和肠的结构特点
各种消化腺的位置和功能
消化酶
食物的消化和营养物质的吸收过程
注意合理营养
关注食品安全
人体内的血量
人体血液循环系统的组成
血液的成分和主要功能
血管的结构、功能和保健
输血与血型
心脏的结构
心脏的工作示意图
血液循环的途径
动脉血、静脉血的概念
人的血型分类
输血的原则
无偿献血原则及意义
血压
脉搏
出血的初步护理
淋巴
呼吸系统的组成
呼吸道的组成和功能
肺的结构
肺与外界气体的交换
呼气和吸气
肺泡内的气体交换
组织细胞的气体交换
呼吸运动
人工呼吸
呼吸系统的卫生保健
煤气中毒及其预防
空气质量影响人体健康
防治大气污染，治理空气质量
能量来自细胞中有机物的
排泄的概念、途径和意义
泌尿系统的组成
肾脏的结构和功能
尿液的形成
尿的排出
排尿的意义
人粪尿的价值
人粪尿的无害化处理
人体神经系统的组成和功能
神经元的结构和功能
脊髓和脑的结构及其功能
人体神经调节的基本方式--反射
反射弧的结构和功能
非条件（简单）反射和条件（复杂）反射
人类神经活动的特征
神经系统的卫生保健
人体的主要内分泌腺
生长激素的作用及其内分泌腺分泌异常时的症
甲状腺激素的作用及其内分泌腺分泌异常时的
肾上腺素的作用及其内分泌腺分泌异常时的症
胰岛素的作用及其内分泌腺分泌异常时的症状
性激素的作用及其内分泌腺分泌异常时的症状
激素调节与神经调节的关系
体液调节
眼球的结构和视觉的形成
近视、远视形成的原因及矫正方法
眼的保健
耳的基本结构和功能
听觉的形成过程
耳的保健
人体皮肤的结构和主要功能
其他感觉器官
现代类人猿和人类的共同祖先是森林古猿
在人类发展和进化中的重大事件
人类的起源和进化
人类活动破坏生态环境造成的影响
人对生物圈的影响
人类活动与生态环境的关系
控制人口的意义
人类与动物的关系
脊椎动物运动系统的组成
关节的基本结构和功能
人体骨骼的组成
人的骨骼与直立行走相适应的特点
骨的基本结构和功能
骨的成分和物理特性
骨的生长
青少年保持正确姿势的意义
骨骼肌与人体主要的骨骼肌群
骨骼肌在运动中的协作关系
骨、关节、骨骼肌的协调配合与运动的产生
体育锻炼对骨、关节和肌肉的影响
脱臼、骨折及其急救处理
动物多种多样的运动形式（飞行、游泳、爬行
动物的运动依赖于一定的结构
动物运动的意义
动物行为的类型和特点
动物的先天性行为和学习行为的区别
社会行为的特征
群体中的信息交流
生物的基本常识
体男性生殖系统的结构和功能
体女性生殖系统的结构和功能
子和卵细胞，受精
精过程
胎发育过程
胎的发育和营养
口增长过快的原因及其影响
划生育及其目的和要求
虫的生殖和发育过程
栖动物的生殖发育环境条件
栖动物的生殖和发育过程
卵的结构
的生殖和发育过程
物的有性生殖
物的无性生殖
物的扦插或嫁接
物的营养生长与生殖生长关系
有性生殖与无性生殖的区别
生物的遗传和变异现象
细胞核中的遗传信息载体-DNA
生物的性状和相对性状的概念
基因控制生物的性状
染色体、DNA和基因的关系
基因在亲子代之间的传递
人的性别遗传
基因的显性和隐性以及它们与性状表现之间的
遗传育种在实践上的应用
生物的变异
变异在实践上的意义
人类主要的遗传疾病
优生优育（禁止近亲结婚）
生物的多样性的内涵
保护生物多样性的基本措施
威胁生物多样性的原因
我国特有的珍稀动植物
自然保护区
生物的分类及分类单位
植物的分类
动物的分类
细菌、真菌等其他生物的分类
病毒的形态结构及生命活动特点
病毒的分类与噬菌体
病毒在自然界中的作用及其与人类的关系
菌落及细菌菌落与真菌菌落的区别
细菌和真菌的分布
细菌的基本形态和结构特点
细菌的营养方式和生殖方式
细菌在自然界中的作用及其与人类的关系
菌的形态结构、营养方式和生殖方式的特点
菌在自然界中的作用及其与人类的关系
细菌和真菌的区别
类的主要特征及其与人类生活的关系
苔鲜的主要特征及其与人类生活的关系
蕨类的主要特征及其与人类生活的关系
种子植物的主要特征及其与人类生活的关系
裸子植物的主要特征
被子植物的主要特征及经济意义
被子植物分类单位和分类方法
双子叶植物纲和单子叶植物
鱼类的主要特征
鱼适于水中生活的形态结构特点和生理特点
鱼的生殖发育特点
鱼类资源的利用和保护
腔肠动物的主要特征及其与人类的关系
软体动物的主要特征及其与人类的关系
甲壳动物和其他水生动物
动物在自然界中的作用
蚯蚓的特征
环节动物的主要特征
家兔的形态结构和生理特点
哺乳动物的主要特征
变温动物和恒温动物的概念及其区别
鸟类的主要特征及其适于空中飞行的特点
昆虫纲的主要特征
节肢动物 蝗虫的主要特征
两栖动物的主要特征
爬行动物的主要特征
陆生动物及其与环境相适应的特征
水域环境的保护
动物栖息地的保护
水生动物及其与环境相适应的特征
飞行动物的特点
地球上生命的起源
原始地球条件
生物进化的证据-化石
生物进化的历程
生物进化的原因
人工选择及其意义
达尔文和自然选择学说
人类和动物的亲缘关系
生物进化的总体趋势
生物学史
发酵技术在食品制作中的作用
食品的腐败原因
食品保鲜的一般方法
克隆技术的应用
转基因技术的应用
生物技术的发展对人类未来的影响
生物仿生的应用
生物防治
健康的概念
调节情绪的方法
生活方式对健康的影响
青春期的发育特点
青春期的心理变化及其卫
常见的寄生虫病、细菌性传染病（包括淋病）
常见的病毒性传染病（包括艾滋病）
病原体与传染病的病因
传染病流行的基本环节
传染病的预防措施
免疫的概念
免疫对人体的主要作用
抗体和抗原
人体的免疫功能
人体特异性免疫和非特异性免疫
计划免疫及其意义
传染病的特点
传染病的分类
心血管疾病的危害
呼吸系统疾病的危害
癌症的危害
酗酒对人体健康的危害
吸烟对人体健康的危害
毒品的危害与拒绝毒品
常用药物的名称和作用
安全用药的常识
急救的方法
血常规化验单
科学探究的基本环节
科学探究的基本方法
调查的基本方法
生物实验中常用仪器及其正确操作方法
探究影响鼠妇分布的环境因素
探究种子萌发的条件
测定种子的发芽率
探究根的什么部位生长最快
探究发生在口腔内的化学消化
探究光合作用的条件、原料和产物
测定反应速度
测定某种食物中的能量
采集和测算空气中的尘埃粒子
探究鱼鳍在游泳中的作用
探究鸟适于飞行的特点
探究菜青虫取食的特点
探究动物的绕道取食
探究蚂蚁的行为（如通讯）
探究蚯蚓的运动
检测不同环境中的细菌和真菌
探究扦插材料的处理
探究花生果实大小的变异
探究酒精或烟草浸出液对水蚤心律的影响
探究某些生态因素在生态系统中的作用
：探究影响叶绿素形成的环境因素
探究维生素C的含量
探究酸雨对农作物的生长影响
探究某种动物条件反射的形成过程
探究影响蚯蚓分布的环境因素
探究植物对空气湿度的影响
观察血涂片
观察蛙蹼或小鱼尾鳍内血液流动现象
探究植物的蒸腾作用
探究环境因素对植物光合作用的影响
探究植物的呼吸作用
探究骨的成分和特性
探究茎对水分和无机盐的运输
观察草履虫
解剖并观察双子叶、单子叶植物种子验证或探
观察幼苗的根毛和根尖的纵切面
用显微镜观察叶片的横切面和叶片的表皮
膝跳反射实验
探究条件反射的形成
眼球成像的实验
绿色植物在光下制造有机物的实验
探究环境污染对生物的影响
地球形状的认识过程及球形证据
地球的大小
地球自转及其方向和周期
地球公转及其轨道形状、方向和周期
昼夜交替现象的产生原因和地理意义
地方时差的形成原理
昼夜长短变化和四季形成的基本原理
绘制简单的地球公转示意图
地球的模型-地球仪
经线与纬线的划分
经度与纬度的划分
重要的经、纬线
南北回归线和南北极圈
经纬网的含义
用经纬网确定方向和任意地点的位置
地球上的五带名称和范围
地球上五带昼夜长短的变化情况
