物质的物理特征
探究压力的作用效果跟什么因素有关的实验
液体的压强的特点
液体的压强的计算
液体压强计算公式的应用
连通器原理
探究液体压强的特点实验
利用平衡法求液体密度
大气压强的存在
大气压强的测量方法
大气压强与高度的关系
气体压强跟体积的关系
气压计和抽水机
大气压的综合应用
流体压强与流速的关系
飞机的升力
流体压强与流速关系的探究实验
浮力产生的原因
阿基米德原理的应用
浮力大小的计算
浮力的利用
探究影响浮力大小因素的实验
物体的浮沉条件及其应用
帕斯卡原理及其应用
声音的产生
声音的传播条件
声速
声音在不同介质中的传播速度
声速的大小跟介质温度的关系
回声
回声测距离的应用
人耳的构成
人耳感知声音的过程及听到声音的条件
骨传声及骨传导的原理
双耳效应
音调
频率与音调的关系
超声波与次声波
响度
响度与振幅的关系
音色
音调、响度与音色的区分
噪声及其来源
声音的等级和噪声的危害
防治噪声的途径
声与信息
声与能量
声音的综合利用
光源
光在均匀介质中直线传播
光直线传播的应用
光的传播速度与光年
光线
光的反射现象
光的反射定律的应用
作光的反射光路图
镜面反射
漫反射
光反射的可逆性
平面镜成像的特点、原理、现象及其实验方案
实像与虚像的区别
平面镜成像的相关作图
平面镜的应用
凸面镜和凹面镜
光的折射规律的应用
光折射的可逆性
光的折射现象及其应用
作光的折射光路图
光学实验设计与探究
光的色散
色光的三原色和颜料的三原色
物体的颜色
红外线
紫外线
透镜及其分类
辨别凸透镜和凹透镜的方法
主光轴、光心、焦点和焦距
凸透镜的会聚作用
凹透镜的发散作用
透镜的光路图
凸透镜成像规律及其探究实验
凸透镜成像的应用
眼睛及其视物原理
近视眼的成因与矫正办法
远视眼的成因与矫正办法
显微镜
望远镜
生活中的透镜
磁性、磁体、磁极
磁化
磁性材料
磁极间的相互作用
物体是否具有磁性的判断方法
磁场
磁感线及其特点
地磁场
通电直导线周围的磁场
通电螺线管的磁场
安培定则及其应用
探究影响电磁铁磁性强弱的因素的实验
电磁铁的构造和原理
影响电磁铁磁性强弱的因素
电磁继电器的组成、原理和特点
磁浮列车的工作原理和特点
电磁铁的其他应用
磁场对通电导线的作用
左手定则
扬声器和耳机的构造和原理
直流电动机的原理
直流电动机的构造和工作过程
实用电动机的构造、特点和应用
电磁感应
产生感应电流的条件
动圈式话筒的构造和原理
发电机的构造和原理
交流电
探究电磁感应现象的实验
电磁波的产生
电磁波的传播与应用
波速、波长和频率的关系
音频、视频和射频信号
调制、调谐和解调
无线电广播的发射和接收
电视的发射和接收
移动通信
网络通信
光纤通信
卫星中继通信
通信技术的发展前景
信息与信息传播
模拟信号和数字信号
电话机的原理
能量及其存在的不同形式
能量的转化
能量守恒定律
能量转化与守恒观点的应用
能量的转化和转移
能量利用效率
能量的转化与转移的方向性
功的概念
力做功的必要因素
力是否做功的判断
功的大小比较
功的计算
功的计算公式的应用
功的原理
功的原理的探究实验
有用功和额外功
能量转化的现象
能量转化的应用
永动机
机械效率的概念
机械效率的大小比较
机械效率的计算
滑轮（组）的机械效率
杠杆的机械效率
斜面的机械效率
增大或减小机械效率的方法
滑轮（组）机械效率的测量实验
斜面机械效率的测量实验
杠杆机械效率的测量实验
功率的概念
比较做功快慢的方法
功率大小的比较
功率的计算
功率计算公式的应用
功率在实际中的应用
功率的测量实验
动能和势能的概念
动能大小的比较
势能大小的比较
动能和势能的大小变化
动能的影响因素
势能的影响因素
探究影响物体动能大小的因素
探究影响物体势能大小的因素
动能与势能的应用
机械能的概念
动能和势能的转化与守恒
机械能守恒条件
机械能和其他形式能的转化
分子动理论的基本观点
热量的概念
内能的概念
内能的利用及其意义
温度、热量与内能的关系
物体内能的改变
热传递的概念与方式
做功改变物体内能
热传递改变物体内能
比热容的概念及其计算
水的比热容的特点及应用
比热容解释简单的自然现象
热量的计算
分子间的作用力
热平衡方程的应用
燃料的热值及其计算
热机
热机的效率
内燃机的四个冲程
有关热机的计算
蒸气机,内燃机,汽轮机,喷气发动机的原理
分子的运动
扩散现象
探究比热容的实验
串联电路的电流规律
探究串并联电路中的电流特点实验
静电现象
并联电路的电流规律
物体带电现象
正电荷与负电荷
原子结构、元电荷与带电情况
电量及其计算
等效电路
摩擦起电
摩擦起电的实质
电荷间的相互作用规律
物体带电情况的判断
验电器的原理及使用
检验物体是否带电的方法
判断物体带电性质的方法
电流的形成
电流的方向
电流的热效应、化学效应和磁效应
电流的大小
电源及其能量转化
有持续电流的条件
导体
绝缘体
导体和绝缘体的区别
金属导电的实质
电路的组成
电路图及元件符号
电路的三种状态
根据实物图画电路图
实物的电路连接
电路的基本连接方式
串联电路和并联电路的辨别
串、并联电路的设计
电流的测量
电流表的使用
电流表的读数方法
电流表的连接
电压
电压的测量仪器
电压表的使用
电压表的读数方法
电压表的连接
串联电路的电压规律
并联电路的电压规律
探究串、并联电路中的电压规律实验
电阻
影响电阻大小的因素
变阻器
滑动变阻器的工作原理
滑动变阻器的使用
电流表、电压表在判断电路故障中的应用
欧姆定律
欧姆定律的变形公式
欧姆定律的应用
电阻的串联
电阻的并联
伏安法
探究电流与电压、电阻的关系实验
伏安法测电阻的探究实验
家庭电路的组成
家庭电路的连接
家庭电路的故障分析
家庭电路工作电压、零线火线的辨别方法
测电笔的使用
熔断器的作用及保险丝的选择方法
插座的构造与工作方式
触电危害及常见的触电类型与预防：安全用电原则
电路的简化与计算
家庭电路电流过大的原因
电路图设计
电路的动态分析
电功与电能
电功的实质
电功与电能的计算
电功计算公式的应用
电能表参数的理解与电能的求法
电功的测量
电功率的概念
电功率与电能、时间的关系
电功率与电压、电流的关系
电功率的计算
额定电压
额定功率
实际电压
实际功率
电功率的测量实验
电热的利用与防止
焦耳定律
焦耳定律的计算公式及其应用
焦耳定律在实际中的应用
电功与热量的综合计算
探究用电器的电功率实验
电能的输送
家用电器
能源
能源的分类
新能源
核能
核电站发电过程中的能量转化
核聚变
核裂变
太阳能
太阳能的利用
太阳能的转化
太阳能热水器中的热量计算
太阳能的其他相关计算
能源革命
能源危机与能源消耗对环境的影响
未来的理想能源
能源的利用和对环境的危害
有利于节约能源的措施
能源与人类生存和社会发展的关系
核能的优点和可能带来的问题
世界和我国的能源状况
火箭
超纲知识
